text,sentiment,negative_reason
"The Canadian Federal Election has been rocked by the revelation of the Liberals plan to tax the sale of homes, effectively meaning they will be bringing in a new Housing Tax that will make life even more expensive.   https://t.co/4bQZqPVzxK",negative,economy
"@Love4Alberta @NormRCN31 The sooner Canada rids itself of this bunch of Trudeau brand narcissists &amp; psychopaths the better. Election Day can’t come fast enough, this is exhausting..",negative,tell lies
Good article to read before voting...  Assessing climate sincerity in the Canadian 2021 election:  https://t.co/IIkdaaxFOj,positive,
@winter_canada I hope the majority of women put on the red cape and vote Liberal this election to keep their to chose.,positive,
@Licaso27 @dzoolander85 Good point.  Which is why I started to always refer to the Harper Gov as the Harper-OToole-Kenney government. That's where this started. #NeverVoteCPC,positive,
@chloe17437761 @anik1968 @MercedesGlobal She is doing her job. Supporting OToole is her job.,positive,
"Justin... taking of the gloves off today.  Good to see a little bit of ""Papa Pierre"" coming out.  #VoteLiberal  #Elxn44 #cdnpoli #Election2021 #OToole #CPC #NeverVoteCPC",positive,
"@ChrisGNardi Jagmeet calling out Trudeau for being big on talk, short on action, would be a good start 🤷‍♂️",positive,
This benefit goes to people who’ve been hit hard and lost their income and Trudeau boasts that he’s lowered relief to $300/week.  https://t.co/cpiIWc8z9r,positive,
@Unbranded63 @ChrisRobbin2 I thought he was wearing pyjama bottoms and slippers.   Good for Otoole actually putting on clothes while he campaigns for the media.,positive,
otoole is better with the sound off,positive,
whew trudeau is a good debater tbh,positive,
All good debate points to have in the pocket Mr. Otoole,positive,
"@dubsndoo Trudeau is playing checkers while OToole is playing chess. Has a game plan, and tells how he will get it done. Trudeau promised 25% lower phone bills. Otoole tells us how he will make it happen.",positive,
@MamaMamaBear @BryanPassifiume Thanks for reminding us that PM Trudeau is older than OToole.,positive,
@DavidLakhan2014 OToole is a good man.,positive,
@buttonsbutt484 @Maverick4change @AlainRayes @erinotoole Me too. We have to vote Otoole. It’s our only hope,positive,
Good let them concentrate on @erinotoole while @MaximeBernier leads the real #Conservative #REVOLUTION for our #Freedom and makes #CanadaStrongAndFree again #VotePPC @peoplespca and #VoteTrudeauOut.  OToole can come in second.,positive,
@coryhann @erinotoole @CPC_HQ Good news vote OTOOLE,positive,
Good thing there isn’t an unnecessary #Election. #Trudeau must go.  He is so out of touch with reality abs #Canadians   https://t.co/eYKBxsxy4T,negative,calling election early
@CdnPatriotInTX @EscanorNot @LaurenPelleti18 @sandyteez Otoole is in lockstep with the globalist agenda.  Clear as day!,positive,
@erinotoole 🤣🤣🤣👎👎otoole dont care he hast cared he voted against help for all during pandemic,negative,covid 
@RMuhlbeier OToole is a coward plain and simple.  JT has more guts and morals then  @erinotoole.  OToole always has prescripted questions.   Cons never change and only care about themselves and donors.,negative,others
@sunlorrie It simply means Trudeau was hoping for a quick election to lock in a majority.,positive,
@IshatReza Also Trudeau was making progress on this file and then he called an election.,negative,calling election early
Trudeau talks about how those who are vaccinated are safer and can begin a normal life.,positive,
"I have never, in my life, felt like i am voting for strictly my values in a canadian election. I’m alway voting to deny power to the conservatives, because at least i know i don’t align with their policies and beliefs.",positive,
Bullshit Otoole.  You and your party received the endorsement of the Canadian version of the American NRA.  You don't get that by being pro gun control which clearly you are not.  What did you promise them?  #NeverVoteConservative  #Elxn44,negative,gun control
@JacquiDelaney @broke_tax_payer @AlexWellstead  If your boss cared about Canadians he would not have called an election during a pandemic .... #emptyvessel,negative,calling election early
The leaders rolling their eyes at trudeau lol,positive,
Nice to see the Conservative/Russian bots out in full force interfering with the Canadian election. #VoteLiberal #LiberalMajority #Elxn44 #IStandWithTrudeau,positive,
@grantmccagg @IslandersHKY @ABTitan I’ve been Trudeau’s trainer for the last 5 years. This kid deserves everything happening to him and more. Thank you for this article,positive,
"This one needs retweeting and retweeting - daily until canadians understand what a 💩show parliament had become. So, yeah, the election was necessary! Do the right thing 🇨🇦 Canada 🇨🇦  #VoteLiberal",positive,
"@Aitch_El @jaraparilla We have a lot of Trumpists, sad to say. We have an election on Monday. I'm hoping and praying the Trumpists don't form government! (Canadians and Australians should talk to each other more, I think. We have similar problems!)",positive,
@JustinTrudeau You could do that already without an election. You had 2 more years.   You didn’t.   Hope voters know that. You could do all you are promising RIGHT NOW!!!   Why do you hate Canadians &amp; Canada?,negative,calling election early
Leadership does matter! A good leader would not call an election during the fourth wave of a pandemic! You have put Canadians at risk for nothing. Another minority government! @CTVNews,negative,calling election early
"@JustinTrudeau Didn't she - Hazel criticize you for calling the election during the pandemic? Yeah, many Canadians think this is an exercise in vanity! @althiaraj @RosieBarton @globalnews @ABC",negative,calling election early
"Loool like it or not, the Justin Trudeau era is over &amp; honestly he’s been nothing but a disappointment🤷🏽‍♂️",negative,others
"@erinotoole Pretty sure my Prime Minister was the target not the media, but take back Canada amirite Mr. Otoole.",positive,
"#Conservative Re-Run #Otoole is Promising What #Conservative #BorrisJohnson did which Caused  Thousands of #COVID19  ""Infections"" in #England  #NeverVoteConservative  #Elxn44    https://t.co/PZIftxWi3U",positive,
@lauriestephens @DuaneBratt OToole has stated clearly he believes in a woman’s right to choose,positive,
"@efd8845edd0249d @2019Stevenixon @Dicky_Paul_95 Who would you suggest,  choice is Otoole or Trudeau,  Otoole has a plan to help.",positive,
When taking part in your Canadian Federal Election.   Do the world a favor and do NOT vote Libtard,positive,
2021 Canadian Federal Election. Insha'Allah  @JustinTrudeau   will come back  with clear majority.  https://t.co/bqJGhO8QVZ,positive,
"Proud of Canadian pals for getting out early and voting with hope for post-election possibilities, frustrated with an unnecessary election in a pandemic.",positive,
"The main issue in the Canadian election Is Trudeau himself. Already seen as privileged, entitled and superwoke, he is now also seen as cynical for calling an election two years early just to secure an overall majority. No real policy issues involved.",negative,others
"For Canadians prioritizing the economy in this election, the CPC is the clear preference:    https://t.co/MhEJfnrTWE  https://t.co/qwADCC14nP",positive,
"Their is 0% chance of PPC, NDP winning the Canadian election, lets not risk it and elect CPC. It's a tough choice but we don't want to let the Liberal continue to disintegrate this Country.",positive,
"@merry123459 It’s a little hard to take the clown who called an election in the middle of rising COVID-19 Numbers serious when he says he wants to keep Canadians safe…way to pack em in, in Brampton a COVID hotspot there JT!",negative,covid 
"Trudeau is straight up fucking lying about canada being on track in reducing its emissions targets agreed to in the paris agreement appealing to ""scientists"" and ""experts""",negative,climate problem
Dear Canada; My province is breaking all because we voted in a conservative government. Please vote smart. #NeverVoteConservative OToole will be a disaster. #Elxn44  https://t.co/EwV2NthJqw,positive,
"Trudeau: How can I justify an election at this time? I can't. Let me first thank Canadians for their sacrifices over the last 19 months, because I haven't sacrificed at all.",negative,calling election early
"@mikemilne18 Otoole supports businesses and provinces who will force their citizens to have a vaccine passport, what's the difference.?",positive,
This Federal election is monumental. We are choosing between funding a National Childcare System that will affect Canadian Society for years to come or tax credits . #VoteLiberal,positive,
